year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1953,4,~28,10,"LAREDO,TX",Texas,USA,North America,T33 PILOT,"BROWN CGR/60K'alt
90-TURN
CONSTANT CONTRAIL
>>NW/1200mph",In-flight,2,Technical,Cigar,27/05/2017,NA,NA,125,"Military investigation, Blue Book",18000,99.5,"Map, Ground, Airborne, Military",242,25,8,6,NA,No occupant
1958,3,3,NA,"MARSHALL,TX",Texas,USA,North America,FAMILY,"2 BRITE ""PLANETS"" HVR
SMALLER NLTS ORBIT THEM
/r78p181",Forest,3,NA,"Nightlights, Probe",32.53,NA,NA,123,NA,NA,94.37,"Map, Ground, Civilian, High quality observer(s)",242,137,4,8,NA,No occupant
1966,8,6,14,"nr KELLY AFB,TX",Texas,USA,North America,ALL/FAMILY,"SCR LANDS
SQR DOOR OPENS
OID SEEN/YELLOW LITE
>>NE",Farmlands,30,Technical,Saucer,29.37,NA,Apparent Landing,210,NA,NA,98.58,"Map, Ground, Civilian",4,66,8,6,NA,Humanoid
1975,6,5,22,"COLPO,FR",MRB,France,Western Europe,2 OBS,"SATURN SCR  BHND TREES
ANTENNAS+BEAMS 
2 FOTOS NFG
/r251p065",Residential,4,Photos,Saucer,47.81,NA,Animals affected,NA,Camouflage,NA,2.81,"Map, Ground, Civilian",194,151,7,7,NA,No occupant
1993,11,28,22,"W/BAKERSFIELD,VT",Vermont,USA,North America,3 TEENS/CAR,"OVOID HVRS BLW CLOUDS
OBS FEEL WATCHED
DISAPPEARS",Residential,3,NA,Saucer,44.78,Observation,Vehicle affected,220,Camouflage,NA,72.82,"Map, Ground, Civilian",60,293,8,8,News,No occupant
1954,10,11,22,"FONTENAY-le-COMPTE,FR",VND,France,Western Europe,LITE ENVELOPS CAR,"SEP/OBJ /SHOWER of SPARKS
/r217p103",Road + rails,1,NA,Fireball,46.47,"Observation, Ray",Vehicle affected,NA,NA,NA,0.8,"Map, Ground, Civilian",194,319,4,6,"News, Misidentification",No occupant
1984,2,21,NA,"POCONO MTs,PA",Pennsylvania,USA,North America,2 OBS,"SLNT SCR STOPS 100'OVR CAR/10min
RADIO STATIC/days after",Mountains,12,"Electro-Magnetic Effect, Technical",Saucer,41.04,"Observation, Signal",Vehicle affected,558,NA,30,75.34,"Map, Ground, Civilian",160,194,8,7,NA,No occupant
1993,4,25,23,"PETIT PALAIS,33,FR",GRN,France,Western Europe,2/CAR,"LUMn.WHT 6M SCR TURNS CW OVR ROAD
FOLOS CAR/50km",Road + rails,85,NA,Saucer,44.98,Observation,Vehicle affected,NA,Camouflage,NA,0.07,"Map, Ground, Civilian, High quality observer(s)",194,341,6,8,NA,No occupant
1979,8,26,4,"BATAVIA,NY",New York,USA,North America,2/SR33,"SHARPLY DEFINED LUM.YEL OVOID HVRS+DRIFTS
SHOOTS>>E",Road + rails,2,NA,"Saucer, Nightlights",43,NA,NA,273,NA,NA,78.19,"Map, Ground, Civilian",200,54,6,7,Misidentification,No occupant
1996,10,~15,NA,"KUMSLOD,THAILAND",AYT,Thailand,Asia Pacific,WAVE/1'FBLS in LOCAL FLAP,Govt.INVESTIGATOR NO LONGER SKEPTIC,Farmlands,5,NA,Fireball,14.44,NA,NA,NA,Other government agencies,NA,-100.5,"Map, Ground, Civilian, High quality observer(s)",96,80,6,11,"News, Wave",No occupant
1974,1,7,20,"WARNETON,BELG",Belgium,"Belgium, Netherlands and Luxembourg",Western Europe,2 CARS EME,"9M SCR/LEGS
3 OIDS
2 APPROACH CAR
/LDLN#139+/r113p342",Town & city,40,Electro-Magnetic Effect,Saucer,50.74,NA,"Vehicle affected, Apparent Landing",NA,NA,NA,-2.96,"Map, Ground, Civilian, High quality observer(s)",41,493,10,7,NA,"Humanoid, Robot"
1954,9,16,19,"SAUTENS,AUSTRIA",TYR,Austria,Western Europe,1/BINOCS,"SLVR DBL-DOME DISK >W/TILT+AWAY
REAPPEARS/NEW TRAJ",Mountains,5,NA,Saucer,47.17,NA,NA,NA,NA,NA,-10.89,"Map, Ground, Civilian",138,808,6,6,NA,No occupant
1979,3,15,22,"PONT SCORFF,FR",MRB,France,Western Europe,2 FBLS  VERTICAL by POWER Stn,DIAMOND +90� TURN >E+MNVRs,Town & city,3,NA,"Delta, Fireball",47.83,Observation,"Building or ANY MANMADE STRUCTURE, Apparent Landing",NA,NA,NA,03/04/2017,"Map, Ground, Civilian",194,190,7,6,NA,No occupant
1989,12,31,18,"Le BOUSCAT,FR",GRN,France,Western Europe,AM.ASTRONOMER,"VERY SMALL BLK OVOID LOW+SLOW/SKY
SSW>NNE",Residential,1,NA,"Saucer, Probe",44.87,NA,NA,NA,NA,NA,0.63,"Map, Ground, Civilian",194,303,6,7,NA,No occupant
1988,1,20,4,"W/MUNDRABILLA,AUST",WA,Australia,Oceania,SCR LIFTS CAR/90MIN,"TIRES POPPED
LUGGAGE GONE
ASH
/r41p232",Desert,90,"Electro-Magnetic Effect, Traces, Technical",Saucer,-31.89,"Observation, Sampling, Missing time, Abduction","Human affected, Vehicle affected",NA,NA,NA,-127.5,"Map, Ground, Coast, Civilian",195,398,10,10,News,No occupant
1996,1,2,15,"N/SWANAGE,DORSET",England,Great Britain and Ireland,Western Europe,1/CAR,"RFI PULSES 5/sec
CAR EMES
BLU GLO/TREES
MST",Coastlands,240,"Electro-Magnetic Effect, Traces, Technical",Nightlights,50.61,"Missing time, Abduction","Dirt, Plants affected or sampled",NA,NA,NA,1.94,"Map, Ground, Coast, Civilian",96,42,9,6,NA,No occupant
1956,8,13,17,"ECCLES,ENG",England,Great Britain and Ireland,Western Europe,SLNT RED 45M DOMED SCR HVRS VLO/BARTON PWR STN/15sec,>>ENE,Town & city,1,NA,Saucer,53.48,Observation,Building or ANY MANMADE STRUCTURE,45,NA,NA,2.33,"Map, Ground, Civilian",140,831,6,6,NA,No occupant
1994,11,5,~20:00,"nr ROCHDALE,ENGL",England,Great Britain and Ireland,Western Europe,2/CAR,"NLT NEAR
CLOCK GETS LOUD+ODD EFFECTS
2 HRS/MST
POSS.ABD",Mountains,130,"Electro-Magnetic Effect, Technical",Nightlights,53.67,"Missing time, Abduction",Vehicle affected,145,NA,NA,02/02/2017,"Map, Ground, Civilian",195,483,9,7,Oddity,No occupant
1965,8,4,21,"DALLAS,TX",Texas,USA,North America,BBK#9675,"RED+BLU NLTS
HUGE ORG OBJ FLIES OVER CAR/GND LEVEL
/Atic",Metropolis,2,NA,Nightlights,32.77,Observation,Vehicle affected,150,"Military investigation, Blue Book",2,96.78,"Map, Ground, Civilian",8,672,6,6,NA,No occupant
1959,10,23,~20:00,"CORDOBA,ARG",CRD,Argentina,South America,40/OUTDOOR PARTY,"STRANGE BUZZ
LUMn. SCR goes OVHD >>NW
wave/Arg.",Residential,1,NA,Saucer,-31.4,NA,NA,384,Sound,NA,64.2,"Map, Ground, Civilian, High quality observer(s)",210,719,6,11,Wave,No occupant
1966,6,18,4,"LE ROURET,FR",Alpes Maritimes,France,Western Europe,1 OBS,"DISK HVRS OVR TOWN/5min
LITES ALTERNATE RED/GRN
/LDLN#84",Mountains,5,NA,Saucer,43.67,NA,NA,NA,NA,NA,-7.01,"Map, Ground, Civilian",8,775,6,6,NA,No occupant
1968,7,29,3,"ATALAYA,ARG",Buenos Aires,Argentina,South America,CAR EMES,"LITES BACK ON as SCR LANDS!
STAYS 45min
/r79p42+/r41",Road + rails,45,Electro-Magnetic Effect,Saucer,-35.07,NA,"Vehicle affected, Apparent Landing",5,NA,0,57.58,"Map, Ground, Coast, Civilian, High quality observer(s)",156,13,7,9,NA,No occupant
1955,2,9,21,"MALVERN+MELBOURNE,AUSTR",Victoria,Australia,Oceania,MANY CALLS,"HUGE ""FLYING POACHED-EGG"" >>S OUT TO SEA",Residential,2,NA,Saucer,-37.87,NA,NA,NA,NA,NA,-145.03,"Map, Ground, Civilian, High quality observer(s)",139,122,7,11,Wave,No occupant
1982,6,27,16,"NW/LAUNCESTON,TASM",TSM,Australia,Oceania,MECH.ENGINEER/PLANE,"MTLC SPHERE PACES 737/2min
RISES >>N",In-flight,2,NA,Saucer,-41,Observation,Vehicle affected,NA,NA,NA,-146.67,"Map, Coast, Airborne, Civilian, High quality observer(s)",241,5,6,7,NA,No occupant
1913,NA,NA,NA,"STRUMA VALLEY,BULGARIA",BLG,Bulgaria,Eastern Europe,FBL DESCENDS SLOW AS A PARACHUTE,">S
LITES ENTIRE SKY",Mountains,2,NA,Fireball,42.5,NA,Apparent Landing,NA,NA,NA,-23.17,"Map, Ground, Military, Civilian, High quality observer(s)",84,192,4,8,Oddity,No occupant
1955,7,23,10,"AGENVILLERS,80,FR",SMM,France,Western Europe,FARMER,"ALUMINUM SCR FOLOS PLANE >S/30sec
SUDDENLY SHOOTS OFF",Farmlands,1,NA,Saucer,50.18,Observation,Vehicle affected,NA,NA,NA,-1.92,"Map, Ground, Civilian",152,36,6,6,NA,No occupant
1863,8,12,NA,"E/MADRID,SP",MDR,Spain,Western Europe,LUMn.OBJ/HRZN,"HALO/TOP
HVRS then MNVRS/ALL DIRs
/Gaceta de Madrid",Metropolis,60,NA,"Nightlights, Fireball",40.44,NA,NA,NA,NA,NA,3.67,"Map, Ground, Civilian, High quality observer(s)",210,346,4,8,NA,No occupant
1979,8,28,11,"NNW/WARRENTON,VA",Virginia,USA,North America,TRUCK EMES+LIFTED/30m SCR,"DVC IMPLANT
TOUR/SPACE
/APRO Dec'79",Farmlands,210,"Electro-Magnetic Effect, Technical",Saucer,38.74,Abduction,Vehicle affected,200,NA,NA,77.83,"Map, Ground, Civilian",160,145,12,4,"News, Hoax, Contactee",Humanoid
1994,6,12,20,"St.USUGES+CHATEAURENAUD,FR",S&L,France,Western Europe,4+6 OBS,"HEXAGON CIRCLED/LITES
4 SQR PORTS/BOTTOM
>N",Town & city,7,NA,Saucer,46.69,NA,NA,NA,NA,NA,-5.26,"Map, Ground, Civilian, High quality observer(s)",194,326,7,9,Wave,No occupant
1967,3,17,19,"OHIOPYLE,PA",Pennsylvania,USA,North America,SCR FOLOS CAR HOME/30M alt,"HVRS OVR HOUSE/5 min.
SVRL OBS
/r113p45",Forest,10,NA,Saucer,39.87,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",372,NA,30,79.49,"Map, Ground, Civilian, High quality observer(s)",210,809,6,9,NA,No occupant
1993,5,14,4,"nr MILDURA,AUSTR",VCY,Australia,Oceania,2/CAR,"4M WHT-GLO OVOID >>NE
90�TURN+FOLOS CAR
RADIO+LITES EME",Road + rails,3,Electro-Magnetic Effect,Saucer,-34.26,Observation,Vehicle affected,NA,NA,NA,-142.33,"Map, Ground, Civilian",97,16,7,7,NA,No occupant
1967,10,18,18,"VOLGOGRAD,RUS",VLG,Russia,Russia and former soviet,CRESCENT-UFO MAKES 2 ABRUPT COURSE CORRECTIONS,GC#082,Town & city,3,NA,Saucer,48.68,NA,NA,NA,NA,NA,-42.36,"Map, Ground, Civilian",58,38,7,7,Wave,No occupant
1952,4,14,12,"LACROSSE,WI",Wisconsin,USA,North America,BBK#1113,"CENTRAL AL CREW+PASSENGERS
LITE CLRd OBJS/VFORM
HI-SPEED",In-flight,1,NA,"Saucer, Nightlights",43.8,NA,NA,199,"Military investigation, Blue Book",NA,91.23,"Map, Ground, Airborne, Civilian, High quality observer(s)",136,142,5,11,NA,No occupant
1954,8,6,NA,"SANTA FE,NM",New Mexico,USA,North America,BRILL WHT ORB LVS LUM TRAIL,"TV+AIRCRAFT RADIO EME
HAM RDO OK!",Desert,1,"Electro-Magnetic Effect, Technical","Saucer, Fireball",35.68,NA,NA,2098,NA,NA,106,"Map, Ground, Civilian, High quality observer(s)",107,237,8,8,NA,No occupant
1968,3,14,NA,"Vla.CISNEROS,SP.SAHARA",SPS,Sahara,Northern and Northwest Africa,PILOT+ATC,"NLT FOLOS PLANE IN+BACK OUT AGAIN
/r226#014",Desert,30,NA,Nightlights,23.74,Observation,Vehicle affected,NA,NA,NA,16/07/2017,"Map, Ground, Coast, Civilian, High quality observer(s)",195,421,5,8,NA,No occupant
1971,9,24,1,"nr FRAGUITA,CHL",TRP,Chile,South America,2 TRUCKERS,"20M DOMED SCR LITES BEACH
POLICE CAR+RADIO EME
>W",Coastlands,30,Electro-Magnetic Effect,Saucer,-22.96,Observation,Vehicle affected,2,Other government agencies,NA,70.3,"Map, Ground, Coast, Civilian, High quality observer(s)",210,867,8,10,NA,No occupant
1974,3,15,20,"BOULDOUX,FR",HRL,France,Western Europe,2 WHT+1 RED FBLS BLINK OVR GND,GO OUT WHEN OBS NEARS,Pasture,1,Traces,"Nightlights, Fireball",43.43,NA,"Dirt, Plants affected or sampled",NA,NA,NA,-2.91,"Map, Ground, Civilian",30,472,5,6,NA,No occupant
1947,11,~11,NA,120mi W/OREGON,NPC,Pacific Ocean and non-Asian islands,Oceania,SS TICONDEROGA,"BBK#35
36'SCRS > HRZN>HRZN/45sec
LO-ARC/800mph",High seas,1,NA,Saucer,43,NA,NA,0,"Military investigation, Blue Book",NA,126.5,"Map, Sea, Civilian",131,73,6,7,News,No occupant
1953,1,1,20,"NW/CRAIG,MT",Montana,USA,North America,BBK#2315,"ANDERSON
SCR/LIT WINDOWS
SEEN/10sec 15M ovr RIVER
3600mph",Road + rails,1,Technical,Saucer,47.18,NA,NA,1060,"Military investigation, Blue Book",NA,111.91,"Map, Ground, Military",137,102,7,7,NA,No occupant
1952,4,17,12,"NELLIS AFB,NV",Nevada,USA,North America,5 MIL,"18 DULL-WHT SCRS >>E/1200mph
40K'alt
1 ZIGZAGs
/r136#7p61",Military base,1,NA,Saucer,36.23,Observation,NA,570,NA,NA,114.98,"Map, Ground, Military",160,288,8,7,"News, Wave",No occupant
1955,10,2,12,"HOLYOKE,MASS",Massachusetts,USA,North America,CIV OBS,"5-10 SLVR ORBS
HVR
CRISSCROSS SKY
SHARP TURNS",Town & city,10,NA,"Saucer, Probe",42.2,NA,NA,35,"Military investigation, Blue Book",NA,72.61,"Map, Ground, Civilian",139,312,6,6,NA,No occupant
1987,8,21,20,"FORT-de-FRANCE,MARTINIQUE",MRT,Caribbean area,Oceania,AL PILOT+ATC/GND,"RED BALL W/7 LUMn SPOTS
/LDLN#283",In-flight,1,NA,Saucer,14.67,NA,NA,2,NA,NA,61.08,"Map, Coast, Airborne, Civilian, High quality observer(s)",150,64,6,8,NA,No occupant
1981,9,6,~04:00,"POLLOCK PINES,CA",California,USA,North America,1 OBS,"DOGS BARK+RUN
DC10 SIZE SLNT CGR LO OVR TREES
10 mph>SE",Forest,1,Technical,Cigar,38.76,NA,Animals affected,1125,NA,NA,120.58,"Map, Ground, Civilian",160,170,6,6,NA,No occupant
1973,7,1,2,"SUONENJOKI,FINL",Finland,Scandanavian and Finland,Western Europe,1 OBS,"BUZZ
BLOB/JELLY GLOWS OVR LAKE
POSS.FIG INSIDE
3+hrs/MST",Forest,240,NA,Saucer,62.61,Missing time,"Human affected, Apparent Landing",NA,Sound,NA,-27.13,"Map, Ground, Civilian",210,959,8,6,NA,Figure
1958,9,7,17,"MISSION,KS",Kansas,USA,North America,PUBLISHER+1,"WHT DISC SPEEDS OVHD SW>>NE
OVR HRZN/15sec
DISTINCT",Town & city,1,NA,Saucer,39.02,NA,NA,305,NA,NA,94.66,"Map, Ground, Civilian",242,67,6,7,NA,No occupant
1879,4,13,20,LOC UNK,UNK,"Earth Orbit. Space stations, capsules. Astronauts & Cosmonauts.",Space,ASTRONOMER HARRISON,"INEXPLICABLE OBJ MNVRS 3.5 hrs
VERY BRIGHT",Space,210,NA,Cigar,90,NA,NA,NA,NA,NA,0,"Ground, Civilian, High quality observer(s)",28,68,6,8,"Scientist, Oddity",No occupant
1953,~8,NA,10,"SLOVOZIA,ROMANIA",DMB,Romania,Eastern Europe,CHILD SEES ODD UFO OVR FIELD,"SQUARE FACE IN WINDOW
FLIES OFF",Pasture,2,NA,"Saucer, Delta",44.5,Observation,"Dirt, Plants affected or sampled",NA,NA,NA,-25.22,"Map, Ground, Civilian",84,158,8,6,NA,Figure
1952,7,29,8,"WALKER/ROSWELL AFB,NM",New Mexico,USA,North America,BBK,"4 OBS
SVRL SCRS SEEN/THEODOLITE
FASTER/ANY PLANE..",Military base,80,NA,Saucer,33.31,NA,NA,1119,"Military investigation, Blue Book",NA,104.57,"Map, Ground, Military, High quality observer(s)",55,114,6,8,NA,No occupant
1954,12,26,NA,"ONERAHI,NI,NZ",NI,New Zealand,Oceania,5+OBS,"3 LUMn.OBJS SPIN OVR HARBOR/45min
2 MNVR
/r138 #5p74",Coastlands,45,NA,"Saucer, Nightlights",-35.77,NA,NA,NA,NA,NA,-174.37,"Map, Coast, Civilian, High quality observer(s)",195,14,6,9,NA,No occupant
1954,9,23,15,"LE PUY,FR",HLR,France,Western Europe,RED CGR/CONTINUOUS TRAJECTORY,ON MICHELE LINE/TULLE-LANGEAC /r49,Pasture,1,NA,Cigar,45.04,NA,NA,NA,NA,NA,-3.89,"Map, Ground, Civilian",30,84,6,6,News,No occupant
1977,~5,NA,~18:00,"nr ROCIANA del CONDADO,SP",HLV,Spain,Western Europe,1/MOTO,"BIG SCR W/PORTS OVHD
MOTO LITES BURNT OUT",Farmlands,5,Electro-Magnetic Effect,Saucer,37.33,Observation,"Human affected, Vehicle affected",NA,NA,NA,6.58,"Map, Ground, Civilian",194,174,7,6,NA,No occupant
1968,8,16,6,"nr TIVISSA,SP",TRG,Spain,Western Europe,SCR HOVERS @1M,"2 1M OCTOPUS-TYPES/4-5 LEGS ENTER+FLY
WATCHES EME",Farmlands,7,"Electro-Magnetic Effect, Traces, Technical",Saucer,41,NA,"Plants affected or sampled, Apparent Landing",NA,NA,NA,-0.73,"Map, Ground, Coast, Civilian, High quality observer(s)",50,14,14,4,"News, Oddity",Monster
1995,1,27,0,"SARASOTA,FL",Florida,USA,North America,PILOT,"30'SCR/SLANT
LEVELS OFF INSTANTLY OVR TOWN
EME
NOTHING/RDR",In-flight,1,Electro-Magnetic Effect,Saucer,27.33,NA,NA,8,NA,NA,82.53,"Map, Coast, Airborne, Civilian",118,115,7,7,NA,No occupant
1972,12,30,22,"TRES ARROYOS,ARG",Buenos Aires,Argentina,South America,RFI,"SCR 
OIDS
FISH DIE
OBS SICK",Pasture,20,"Electro-Magnetic Effect, Traces, Technical, Injuries",Saucer,-38.37,"Ray, Abduction","Plants affected or sampled, Animals affected, Human affected",99,NA,1,60.27,"Map, Ground, Civilian",195,232,13,7,Oddity,Humanoid
1994,1,31,NA,"RICKMANSWORTH,HERTFs",England,Great Britain and Ireland,Western Europe,2 OBS,"ORB COVERED/LITES OVR CARPARK
OTHERS BY DONT NOTICE",Town & city,1,Technical,Saucer,51.67,NA,NA,NA,Camouflage,NA,0.48,"Map, Ground, Civilian",60,299,9,7,"News, Oddity",No occupant
1960,11,15,10,"50km N/CRESSY,TASM",TSM,Australia,Oceania,70'SCR>800MPH/36K',"BUZZES USAF RB-57
/r249p484
/r120p167",In-flight,5,NA,Saucer,-41.43,Observation,NA,NA,NA,NA,-147.27,"Map, Ground, Airborne, Military, High quality observer(s)",174,105,6,8,NA,No occupant
1965,8,2,22,"NORMAN,OK",Oklahoma,USA,North America,MANY+TSCOPE,"40'WHT ORB>> NNE
INSTANT TURN> SW
FLASH+TURNS>>NE AGAIN",Farmlands,40,NA,Saucer,35.23,Observation,NA,360,NA,NA,97.43,"Map, Ground, Civilian, High quality observer(s)",78,66,5,10,"News, Wave",No occupant
1964,11,28,NA,PACIFIC 164�10E-33�55N,NPC,Pacific Ocean and non-Asian islands,Oceania,USCGC MATAGORDA CUTTER CREW,NFD at all,High seas,1,NA,Nightlights,33.91,NA,NA,0,"Military investigation, Blue Book",NA,-164.17,"Map, Coast, Sea, Military",56,75,4,6,NA,No occupant
1990,2,7,~18:00,"OSTROZKA NOVA VES,CZK",MRV,Czech and Slovak Republics,Eastern Europe,SCR WAVERS,"LRG FIG/WINDOW!
EXTENDS ANTENNA/FLASH 3X",Residential,3,NA,Saucer,49.01,Observation,Building or ANY MANMADE STRUCTURE,NA,NA,NA,-17.43,"Map, Ground, Civilian",194,301,8,6,NA,Figure
1971,5,2,1,"VILLALBA dl ALCORES,SP",VLN,Spain,Western Europe,SAME OBS FINDS 3M SCR/SAME AREA,"ALWAYS SILENT
/r50p33",Pasture,5,NA,Saucer,41.84,NA,Apparent Landing,NA,NA,NA,4.87,"Map, Ground, Civilian",194,131,8,9,NA,No occupant
1981,7,11,NA,"nr CAIRNS,QLD",QLD,Australia,Oceania,8/CAR>Mt.IDA,"HUGE RND OBJ
WHT BEAMS /HILLS+TREES
AWAY+BACK+AWAY",Road + rails,50,NA,Saucer,-17.02,"Observation, Ray","Dirt, Plants affected or sampled",NA,NA,NA,-145.76,"Map, Ground, Coast, Civilian, High quality observer(s)",229,823,6,9,NA,No occupant
1956,9,3,22,"HIGUEROTE,VNZL",MRN,Venezuela,South America,MANY/BEACH,"SVRL SLNT SCRs W/SWR.WINDOWS/RIM
1 /SEA+/SURFACE",Coastlands,3,NA,Saucer,10.51,NA,Apparent Landing,1,NA,0,66.08,"Map, Ground, Coast, Civilian, High quality observer(s)",210,681,7,10,NA,No occupant
1960,8,NA,9,"HAMBURG,GER",SCH,Germany,Western Europe,7M SCR-ON-EDGE DESCENDS/GARDEN,"3 BEAMS/LITE/CENTER
HAZE+GAS
p279",Metropolis,3,Technical,Saucer,53.57,Ray,Apparent Landing,NA,Camouflage,NA,-10.06,"Map, Ground, Civilian",8,508,7,6,NA,No occupant
1969,7,NA,3,"nr ITACOATIARA,BRZ",Amazonas,Brazil,South America,2/DISABLED CAR,"OVOID OVHD
BEAMS  CHANGE CLRS/AMAZING RATE",Rainforest,2,Technical,Saucer,-3.13,"Observation, Ray","Human affected, Vehicle affected",42,NA,NA,58.41,"Map, Ground, Civilian, High quality observer(s)",222,90,7,8,NA,No occupant
1994,7,NA,1,"THORENC,FR",Alpes Maritimes,France,Western Europe,SVRL OBS,"3 WHT GLO-BALLS HVR 500M fm Mtn PEAK
VANISH LIKE MAGIC.",Mountains,12,NA,"Saucer, Probe",43.8,NA,NA,NA,Camouflage,NA,-6.81,"Map, Ground, Civilian, High quality observer(s)",194,327,7,9,Oddity,No occupant
1972,3,18,NA,"DROCOURT,FR",Pas-de-Calais,France,Western Europe,1.5M ORB FLIES ALL OVR OLD MINING TUNNEL,"BACK+FORTH
GONE
REAPPEARS",Residential,240,NA,"Saucer, Probe, Fireball",50.38,Observation,Building or ANY MANMADE STRUCTURE,NA,Camouflage,NA,-2.93,"Map, Ground, Civilian",30,379,3,10,Misidentification,No occupant
1952,6,19,18,"JERSEY SHORE,PA",Pennsylvania,USA,North America,4+ OBS,"SVRL SCRS+CGRS/HI ALT
/AF RPT
news copy/r136#8p20",Residential,10,NA,"Saucer, Cigar",41.2,NA,NA,183,"Military investigation, Blue Book",NA,77.27,"Map, Ground, Civilian, High quality observer(s)",136,221,6,9,News,No occupant
1982,10,4,NA,"USOVO,UKRAINE",???,Ukraine,Eastern Europe,MANY MIL.OBS,"HUGE SCR HVRS?
MISSILE CONTROLS GO CRAZY
see ref.",Military base,130,"Electro-Magnetic Effect, Technical",Saucer,51.33,Observation,Nuclear,NA,"Military investigation, Other government agencies",NA,-28.13,"Map, Ground, Military, Civilian, High quality observer(s)",97,41,7,11,NA,No occupant
1926,8,NA,~20:00,"WESTMONT,IL",Illinois,USA,North America,LRG DISK >W,"5 SML DISKS FOLO
LITE REFLECTS/CLOUDS ABOVE
/NICAP",Residential,1,NA,"Saucer, Probe",41.78,NA,NA,230,NA,NA,87.98,"Map, Ground, Civilian",65,13,6,6,NA,No occupant
1957,1,1,15,"St.HELENS,ENGL",England,Great Britain and Ireland,Western Europe,SVRL OBS,"GRY RING-SCR >>N HI ovr THIN CLOUDS
THEN 
/r141#1p3",Town & city,2,NA,Saucer,53.44,NA,NA,22,NA,NA,2.73,"Map, Ground, Civilian, High quality observer(s)",195,38,6,9,News,No occupant
1970,1,7,15,"IMJARVI,FINL",Finland,Scandanavian and Finland,Western Europe,2 SKIERS,"3M SCR
ODD 90CM OID/CONE-HAT+BEAM-BOX
/MJ#181+FSR v26#5",Forest,8,"Technical, Injuries",Saucer,61.27,Ray,"Human affected, Apparent Landing",NA,"Sound, Camouflage",NA,-26.09,"Map, Ground, Civilian",41,483,10,5,"Hoax, Contactee",Humanoid
1954,10,25,6,"BELGRADE,SERB",Serbia,Former Yugoslavia,Eastern Europe,100s/OBS,"MANY/SLVR SCRS/VFORM
9K'alt
>3000kph
/r114p58+/r242p123",Metropolis,10,NA,"Saucer, Delta",44.83,Observation,NA,NA,"Military investigation, Blue Book, Government Security Agency involvement",NA,-20.5,"Map, Ground, Military, Civilian, High quality observer(s)",195,15,7,12,"News, Wave",No occupant
1976,5,31,2,"DAW PARK,S.AUSTRL",South Australia,Australia,Oceania,1.7M MAN/SLVR SUIT/YARD,FLIES to CGR/SKY when approached,Residential,1,NA,Cigar,-34.99,NA,Apparent Landing,NA,NA,NA,-138.59,"Map, Ground, Coast, Civilian",96,161,8,5,NA,"Pseudo-Human, Figure"
1969,4,26,~20:00,"CALGARY,ALTA",Alberta,Canada,North America,DOG STOPS,"30' SCR/GND
2 TALL MEN OUTSIDE
SICKLY BITTERSWEET ODOR",Metropolis,1,NA,Saucer,51.03,NA,Apparent Landing,1067,Odors,0,114.07,"Map, Ground, Civilian",54,49,8,6,NA,"Pseudo-Human, Giant"
1960,~8,NA,17,MOSCOW,MOS,Russia,Russia and former soviet,SCIENTIST+MANY,"RECTANGLR OBJ HANGS MILES/SKY
NO VISIBLE SUPPORT",Metropolis,18,NA,Delta,55.73,Observation,NA,NA,NA,NA,-37.59,"Map, Ground, Civilian, High quality observer(s)",9,185,7,10,Oddity,No occupant
1968,3,3,6,"SYRACUSE,NY",New York,USA,North America,20M CGR >OVR CAR,"EME
BRIEF PARALYSIS
/APRO+/r24 5'68+/r8#905",Town & city,5,"Electro-Magnetic Effect, Injuries","Saucer, Cigar",43.03,NA,Vehicle affected,120,NA,NA,76.14,"Map, Ground, Civilian",41,274,7,9,NA,No occupant
1992,10,7,6,"ELK RIVER,MN",Minnesota,USA,North America,GIRL+SEP.OBS,"NLT-FBL 15M ovr CHICKEN-COOP
BLUE BEAMS
HUMS",Farmlands,2,NA,"Nightlights, Fireball",45.3,"Observation, Ray","Animals affected, Building or ANY MANMADE STRUCTURE",274,Sound,NA,93.54,"Map, Ground, Civilian, High quality observer(s)",60,282,5,8,"Telepathy, News, Wave",No occupant
1986,3,27,~08:00,"GARY,IN",Indiana,USA,North America,2 OBS,"HUGE SLNT PYRAMID CIRCLES
FAST STOPS
LITES/EDGES
30min/MST",Metropolis,12,Technical,"Delta, Nightlights",41.62,NA,NA,180,NA,NA,87.33,"Map, Ground, Civilian",40,61,6,7,NA,No occupant
1974,8,24,4,"E/TRIMDON,ENG",England,Great Britain and Ireland,Western Europe,3 OBS,"VLRG SLNT RED OVOID PARALLELS A19>>SE
OUT TO SEA?",Coastlands,1,NA,Saucer,54.7,NA,NA,100,NA,NA,1.31,"Map, Ground, Coast, Civilian, High quality observer(s)",232,75,6,8,Wave,No occupant
